BlipA.ElapsedDays         BlipA.X                   BlipA.Y                   BlipA.Z                   
0                         6804.373650608836         -591.8208020951877        -2208.7053023954          
BlipA.ElapsedDays         BlipA.X                   BlipA.Y                   BlipA.Z                   
0                         6804.373650608836         -591.8208020951877        -2208.7053023954          
0.0006944444430700969     6934.033140951458         -480.857468999984         -1794.574482802973        
0.001779447942681145      7082.588208396283         -303.9158493842119        -1134.170827522527        
0.002920340062701143      7166.438596788935         -114.7870481193462        -428.2543012218534        
0.004067957284860313      7175.108148129056         76.66502320018086         286.3417456688475         
0.005216533525526756      7107.735830221996         267.4642426431379         998.4897400869527         
0.006365554036165122      6964.976535634632         455.5014865545631         1700.298333200032         
0.0075150698357902        6748.309142632347         638.7903517542462         2384.334893629581         
0.008665210370963905      6459.974628781118         815.4060157436966         3043.397668399557         
0.009816078101721359      6102.963446076941         983.4876720438185         3670.525224267234         
0.01096777918428415       5680.979745074332         1141.262399667767         4259.085862907416         
0.01212039123493014       5198.415864060676         1287.058915831725         4802.829262162131         
0.01327397656496032       4660.307280575027         1419.32736002129          5295.960596159741         
0.01442855092318496       4072.300041840184         1536.652925820914         5733.191684624541         
0.01558413836028194       3440.569690402164         1637.777836576917         6109.823209160201         
0.01674073894537287       2771.773647871243         1721.611549043699         6421.782994838729         
0.01789831345740822       2072.994170817479         1787.242976087302         6665.671793981641         
0.01905683170843986       1351.637037373817         1833.954601468649         6838.816029565378         
0.0202162011009932        615.3975589409447         1861.228123582018         6939.288985704276         
0.02137635968756513       -127.879064922134         1868.754970653891         6965.949960020397         
0.02253719860163983       -870.2338139305933        1856.438456262602         6918.452339527667         
0.02369861666011275       -1603.71532708449         1824.396840300678         6797.254847322996         
0.02486053034954239       -2320.472843337293        1772.960905870658         6603.612302749629         
0.02602281348299584       -3012.804910001488        1702.673157589118         6339.572478660386         
0.02718536282554851       -3673.285258289306        1614.279946580376         6007.946320692299         
0.02834807424733299       -4294.829414705838        1508.724013703196         5612.279796855351         
0.02951086736720754       -4870.784793182948        1387.131680683144         5156.805653056455         
0.03067363437003223       -5394.977249174862        1250.805505097445         4646.415626712131         
0.03183631430147216       -5861.813797996726        1101.201917830245         4086.57639728208          
0.03299883560612216       -6266.314359458576        939.9211768249419         3483.291665375599         
0.03416115504660411       -6604.179730703149        768.6847897493325         2843.017317389611         
0.03532323831313988       -6871.826896885767        589.3189334418447         2172.599044127672         
0.03648504645025241       -7066.423764430952        403.7368632566883         1479.20617354578          
0.03764658579530078       -7185.925324865768        213.9102683258505         770.224222081604          
0.03880783365093521       -7229.081043005662        21.85996599008989         53.21972649733186         
