MINABO.ElapsedDays        MINABO.X                  MINABO.Y                  MINABO.Z                  MINABO.VX                 MINABO.VY                 MINABO.VZ                 
0                         11                        97.4649601754801          54.24556698931333         11                        5.716753967790518         14.46785139790119         
MINABO.ElapsedDays        MINABO.X                  MINABO.Y                  MINABO.Z                  MINABO.VX                 MINABO.VY                 MINABO.VZ                 
0                         11                        97.4649601754801          54.24556698931333         11                        5.716753967790518         14.46785139790119         
7.801427273079753e-07     8.81256931433639          105.5557232209447         61.42080008528872         -72.2459353301454         211.7235005641517         184.558840384881          
1.555312337586656e-06     2.040938010705449         122.6724633788835         76.8124439914538          -124.153467841046         282.890412884514          262.0008552740739         
2.525866875657812e-06     -9.705935706150131        147.2432292602609         100.2696586379693         -151.162327494373         297.5896274670265         290.7805611174466         
3.897024726029486e-06     -28.39252698553055        182.50605364518           135.324866536214          -161.70759833215          296.9452593298198         298.5617738372515         
5.890175089007244e-06     -56.5574718195633         233.4512322470681         186.863292312752          -164.5253167194297        294.9935761281733         299.4632916747508         
8.387545676669106e-06     -92.12414499604061        296.9864601028438         251.4419988906762         -164.9795192244168        294.070338831375          299.0944404770934         
1.17351628432516e-05      -139.8469721132701        381.9634032369528         337.8869683905357         -164.9862026186861        293.5972584392486         298.6907437780391         
1.662275826674886e-05     -209.5011361849346        505.8723847179854         463.9443433146048         -164.9032487548032        293.2857785338947         298.3652005952133         
2.416471397737041e-05     -316.9227719017275        696.8986981458015         658.2747582717732         -164.8083609654141        293.0493401359856         298.1136729863366         
3.634682434494607e-05     -490.3392742696479        1005.234036502908         971.9361563872592         -164.7229539388052        292.8652866955883         297.9230812453958         
5.928505197516643e-05     -816.7134764554606        1585.483291799897         1562.206553442142         -164.6488204449636        292.7170634278108         297.7727751705658         
9.815279190661386e-05     -1369.534875132684        2568.290220942482         2561.990145784772         -164.5984973215786        292.6210245598169         297.6760988121632         
0.0001651852180657443     -2322.713630137567        4262.829622461121         4285.805118832935         -164.5658853817931        292.5605232553032         297.6151634318953         
0.000282598066405626      -3992.025965232073        7230.479420179808         7304.7294620928           -164.5455021693878        292.523360596318          297.5776340958583         
0.0004927916052110959     -6980.157673582619        12542.67390817316         12708.7102795591          -164.5330742784053        292.5009401192464         297.5549344919842         
0.0008778333394729998     -12453.63279537099        22273.21738101246         22607.38433267214         -164.5256763970551        292.4876780114536         297.5414821005634         
0.001600696599780349      -22728.98665950369        40540.36097555082         41190.16077166834         -164.5213773070319        292.4799995620955         297.5336839693687         
0.002993770889588632      -42530.86909452325        75743.41190403109         77001.47620777272         -164.5189403642666        292.4756562670573         297.5292697046219         
0.005754693112976383      -81775.62762352693        145511.2842077331         147974.8502503857         -164.5175945803198        292.4732605693179         297.526833816878          
0.009226915335602826      -131130.8106806345        233253.0927928399         237232.7279302814         -164.51704494613          292.4722827210711         297.5258393474239         
0.01269913755822927       -180485.8828256363        320994.7040804339         326490.404949679          -164.516795782741         292.4718395484985         297.5253886001744         
0.01617135977721773       -229840.8985170781        408736.2149635293         415747.979846139          -164.5166535910559        292.471586671447          297.5251313892557         
0.01964358199984417       -279195.8799115351        496477.6648543052         505005.4927041309         -164.5165616571459        292.4714231860411         297.5249650974614         
0.02311580422247062       -328550.8382377991        584219.0737240885         594262.9638365841         -164.5164973372453        292.4713088120448         297.5248487580022         
0.02658802644509706       -377905.7799782792        671960.4531014594         683520.4049696161         -164.5164498143413        292.4712243095294         297.5247628022292         
0.0300602486677235        -427260.7092165789        759701.8102484607         772777.823489854          -164.5164132686026        292.4711593276995         297.5246967022055         
0.03353247089034994       -476615.6286921375        847443.1500365505         862035.2243524038         -164.5163842904415        292.4711078028095         297.5246442902849         
0.03700469311297638       -525970.540332258         935184.4758928812         951292.6110433078         -164.5163607498459        292.4710659469245         297.5246017135654         
0.04047691533560283       -575325.4455444535        1022925.790320245         1040549.986108388         -164.5163412476055        292.4710312718252         297.5245664411203         
0.04394913755822927       -624680.3453880404        1110667.095202246         1129807.351463648         -164.5163248266509        292.4710020755999         297.5245367418087         
0.04742135977721773       -674035.2406802924        1198408.391992076         1219064.708587284         -164.516310810198         292.470977154783          297.5245113914858         
0.05089358199984417       -723390.1320649879        1286149.681834421         1308322.058643686         -164.516298706143         292.4709556343269         297.5244895000613         
0.05436580422247062       -772745.0200582901        1373890.965647044         1397579.402566418         -164.5162881480914        292.4709368627275         297.5244704048276         
0.05783802644509706       -822099.9050803946        1461632.244177068         1486836.741115469         -164.5162788576261        292.4709203449256         297.5244536022094         
0.0613102486677235        -871454.7874779376        1549373.518040818         1576094.07491778          -164.5162706193972        292.4709056980078         297.5244387027043         
0.06478247089034994       -920809.6675402246        1637114.787752677         1665351.404496598         -164.5162632642214        292.4708926211523         297.524425400313          
0.06825469311297638       -970164.5455112136        1724856.053746401         1754608.730293151         -164.5162566573397        292.4708808747495         297.5244134513012         
0.07172691533560283       -1019519.421598525        1812597.316391133         1843866.052682943         -164.5162506900859        292.4708702655859         297.5244026591284         
0.07519913755822927       -1068874.295980317        1900338.576003632         1933123.371988194         -164.5162452738628        292.4708606361326         297.524392863553          
0.07867135977721773       -1118229.168810609        1988079.832857739         2022380.688487465         -164.5162403357137        292.4708518566711         297.5243839326222         
0.08214358199984417       -1167584.040223457        2075821.087191797         2111638.002423208         -164.5162358150167        292.4708438194153         297.5243757566932         
0.08561580422247062       -1216938.910336259        2163562.339214532         2200895.314007748         -164.5162316609838        292.4708364340644         297.5243682439092         
