Sat.ElapsedDays           Sat.X                     Sat.Y                     Sat.Z                     
0                         7000                      0                         0                         
Sat.ElapsedDays           Sat.X                     Sat.Y                     Sat.Z                     
0                         7000                      0                         0                         
0.0006944444430700969     6985.343085569371         449.685968049899          -0.0001969759745284258    
0.002051845418463927      6872.376013122033         1321.505806603226         -0.001646483190019843     
0.003514882908348227      6627.605443981953         2237.101333608314         -0.004564635614556014     
0.00498961731500458       6256.100565113802         3117.845838684193         -0.008602870350000871     
0.006464378791861236      5766.067373121692         3939.533455967371         -0.01338819928353725      
0.007937356112961425      5167.273793238067         4685.514436078257         -0.01857752613965666      
0.009407905672560446      4471.430674446412         5341.371044136804         -0.02387973728947146      
0.01087555971753318       3692.100815916179         5894.571515733293         -0.02907267663694307      
0.01233992351626512       2844.438400024123         6334.648226233549         -0.03400877585636761      
0.0138006702545681        1944.874044567213         6653.388464570822         -0.03860821059574511      
0.0152575443207752        1010.774420626687         6844.979872924472         -0.04284150328125071      
0.01671036245897994       60.08877144321318         6906.103645112198         -0.04670525311511572      
0.01815901867303182       -889.0133957600252        6835.975065342866         -0.05019571658563134      
0.01960348644570331       -1818.501110172601        6636.330274428376         -0.05328519357063536      
0.02104381965182256       -2710.829955547903        6311.361992305544         -0.05590567731762916      
0.02248014511496876       -3549.268023011581        5867.610176234604         -0.05794295201068791      
0.023912666754768         -4318.206220209399        5313.807412025832         -0.05924255364587461      
0.02534166030091001       -5003.434148856245        4660.687548996535         -0.05962684062445291      
0.02676746513679973       -5592.382711974014        3920.763962029609         -0.05892047669717112      
0.02819047944649355       -6074.333641499646        3108.079975933238         -0.05698001780960808      
0.02961115082871402       -6440.590316930186        2237.940361042614         -0.05372240930282463      
0.03102997029418475       -6684.611904503591        1326.625251962978         -0.04914719938087748      
0.03244746000564191       -6802.107768119899        391.0971579200357         -0.0433482078126388       
0.03386416679495596       -6791.095284988217        -551.3015930161237        -0.03651201651301503      
0.03528064936836017       -6651.919592654028        -1483.149147967928        -0.02890287891636426      
0.03669746976083843       -6387.237481983119        -2387.245134451621        -0.02083585285471769      
0.03811518444490503       -6001.965185131897        -3246.905711010147        -0.01264202570184684      
0.03953433277274598       -5503.192342008981        -4046.247808311332        -0.004631099895981964     
0.0409554289362859        -4900.062013110245        -4770.463139282942        0.002942907829183708      
0.04237895274127368       -4203.618765704987        -5406.075647493866        0.009907441414660973      
0.04380534164738492       -3426.625693900527        -5941.180427929927        0.01618455521614794       
0.04523497780610342       -2583.35560898667         -6365.658749717688        0.02178922821447211       
0.04666818668192718       -1689.349065624091        -6671.371856558873        0.02681299127500066       
0.04810522429033881       -761.1541711322047        -6852.321746336685        0.03139508408543192       
0.04954627982078819       183.9647773555877         -6904.782487424635        0.03568544140873763       
0.05099146534121246       1128.328718075406         -6827.392356357906        0.03980485039838964       
0.05244081915225252       2054.167819088795         -6621.207237789452        0.04380825783886113       
0.05389429692149861       2943.9464265792           -6289.711715475265        0.04765664588237387       
0.05535177979618311       3780.701994668098         -5838.78325421461         0.05120190591097278       
0.05681307585473405       4548.375704729822         -5276.60900967023         0.05418725609858857       
0.05827791985575459       5232.131766380687         -4613.55696292005         0.05626377256090254       
0.05974597926979186       5818.662643582389         -3861.998910863042        0.05702149730594425       
0.06121686082769884       6296.468998827182         -3036.088334849802        0.05603165900872514       
0.06269011708718608       6656.107114368747         -2151.497201658128        0.05289512467335469       
0.06416525038002874       6890.397301810887         -1225.118275471716        0.04729140160002786       
0.06564172992875683       6994.58989630305          -274.7287686251713        0.03902231509648556       
0.06711898786670645       6966.478257366498         681.3564512819275         0.02804525772868054       
0.06859644392170594       6806.460771950961         1624.665670231257         0.01449175978652328       
0.07007350814819802       6517.543968037206         2536.944207312069         -0.001330694421050425     
0.07154959637773572       6105.288191901518         3400.534216161828         -0.01895413614259665      
0.07302414427977055       5577.694683200966         4198.741572159047         -0.03778110567197017      
0.07449661486316472       4945.03991727335          4916.177870617306         -0.0571275408766037       
0.07596651371568441       4219.656840589586         5539.077051318115         -0.07627280630732501      
0.07743339807711891       3415.673025210237         6055.57081688416          -0.0945109739808514       
0.07889688374416437       2548.712592887579         6455.919684870491         -0.1111976446574032       
0.08035666056821356       1635.563136542602         6732.697023772273         -0.1257873776339833       
0.08181248843538924       693.8331178410118         6880.915126711348         -0.1378577442677995       
0.0832642061104707        -258.41006970197          6898.101718546902         -0.1471186178610672       
0.08471173201905913       -1203.000622305607        6784.320759534373         -0.1534068029825714       
0.08615506386922789       -2122.029099843662        6542.141657706727         -0.1566684941238359       
0.08759428119083168       -2998.186575966083        6176.558315663788         -0.1569336289223427       
0.08902953499637078       -3815.081686290274        5694.86533584405          -0.1542872174163048       
0.09046105196466669       -4557.542047212516        5106.490127934317         -0.1488429832073491       
0.09188912689933204       -5211.878787393126        4422.791289304756         -0.1407239174765459       
0.09331411327366368       -5766.118000133544        3656.828617584574         -0.1300530129096855       
0.09473642589364317       -6210.201406625186        2823.101693547855         -0.1169552657954535       
0.09615652551292442       -6536.141673615483        1937.278076775546         -0.1015701723244772       
0.0975749092795013        -6738.14372830893         1015.905447370735         -0.08407160283928232      
0.09899210902585764       -6812.688492273574        76.10914136262295         -0.06469044255116307      
0.1004086765715329        -6758.575764624188        -864.7066158824204        -0.04373503763175943      
0.1018251711975608        -6576.932310435568        -1789.158929399976        -0.0216043152875894       
0.1032421554591565        -6271.18301127679         -2680.188699902539        0.001210435998772418      
0.1046601825328253        -5846.986784177542        -3521.350449428397        0.02413693609385807       
