Sat.ElapsedDays           Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
0                         7000                      0                         0                         0                         6.881115465576718         2.983328669355911         
Sat.ElapsedDays           Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
0                         7000                      0                         0                         0                         6.881115465576718         2.983328669355911         
0.0001157407423306722     6999.592731137381         68.80982237661776         29.83270100392654         -0.08145301321014858      6.880715566680932         2.983153520505697         
0.002347379162529251      6833.11679398442          1384.475424944127         600.2279035678832         -1.639360918303716        6.717033117125069         2.911972508693186         
0.005819601381517714      5994.421629370854         3292.484650467387         1427.257154625009         -3.904660914139728        5.890847078899228         2.552797979353066         
0.009291823604144156      4529.913053508791         4856.508024984535         2104.758950978826         -5.775101504535029        4.441978103196933         1.923049759300609         
0.0127640458267706        2588.863670963593         5909.112477059292         2560.005435453745         -7.052240912428476        2.509324725940338         1.083272347515343         
0.01623626804939704       372.8020613292385         6332.827685752666         2742.044471101262         -7.589410426837698        0.2852618314529614        0.1172996253842881        
0.01970849027202348       -1882.887223398706        6074.243415922828         2627.834848850528         -7.310518057206216        -1.998421555308846        -0.8738998145320828       
0.02318071249464992       -3932.56269880956         5152.85919936394          2226.085562206292         -6.225332695830573        -4.091556753801029        -1.781422122167971        
0.02665293471727637       -5547.486474694434        3662.575274738967         1577.878464092448         -4.437174705071955        -5.753418032156991        -2.500583309171508        
0.03012515693990281       -6543.568406777818        1764.110353375258         753.3297443426194         -2.13839274752878         -6.784690873448141        -2.944866135425132        
0.03359737916252925       -6805.495625301239        -332.1152632299217        -155.9046480564396        0.4094471266397831        -7.057893601053568        -3.059167005242345        
0.03706960138151771       -6302.694132390204        -2391.05033948479         -1047.582005587286        2.909579027713401         -6.53871945445642         -2.829055445571829        
0.04054182360414416       -5093.681071356057        -4182.297204799931        -1821.645694939969        5.071998724702027         -5.292037220975601        -2.283321671026997        
0.0440140458267706        -3317.812984512856        -5508.592770796626        -2392.625171493534        6.653874737794616         -3.470683311921703        -1.489011284685637        
0.04748626804939704       -1176.285846121304        -6228.720777879239        -2699.585040752309        7.489586791023028         -1.290504714575245        -0.5404724162450123       
0.05095849027202348       1093.662583292748         -6271.729244942229        -2712.264775133359        7.505655045884169         1.001358275389144         0.4545220268652137        
0.05443071249464992       3246.753313684141         -5641.547819370648        -2433.022659032746        6.720930506844263         3.157690359790304         1.388403357503201         
0.05790293471727637       5055.976342512401         -4412.961981067298        -1895.010725133942        5.235931631382228         4.95706519845377          2.165070672074966         
0.06137515693990281       6334.671319203049         -2720.882114166796        -1157.434025407382        3.216043227087081         6.222616238720966         2.708037705254104         
0.06484737916252925       6953.123840574402         -745.0071635389884        -298.815574643466         0.8722317594403072        6.83414797262977          2.965661184180471         
0.06831960138151771       6849.283084578376         1308.305743728517         590.9400348557207         -1.558633376657933        6.73488656495687          2.914024825179419         
0.07179182360414416       6033.628639747222         3225.559406189547         1419.069782023132         -3.833061353282332        5.934168986954058         2.558049464629048         
0.0752640458267706        4588.30803896728          4805.943396390344         2098.590828416549         -5.71992044331526         4.506888845089754         1.931185748015868         
0.07873626804939704       2660.564329913301         5880.520114614464         2556.639152434969         -7.019602280673762        2.589698050256792         1.093685896653209         
0.08220849027202348       450.3572660280424         6329.677318959144         2742.029421767861         -7.58351866736719         0.3730222157292509        0.1290415550089933        
0.08568071249464992       -1807.808782750498        6097.36625518145          2631.388116932731         -7.332928392823058        -1.912651938496784        -0.8620813106934085       
0.08915293471727637       -3868.293577555377        5200.194883049066         2233.018103057999         -6.274437706604293        -4.017494917628013        -1.77095551433511         
0.09262515693990281       -5501.37616394344         3729.244665956368         1587.570273180136         -4.508035910403039        -5.69992466185836         -2.492873819577224        
0.09609737916252925       -6521.018838360245        1842.868691925276         764.7750924053208         -2.22307086765766         -6.758459562219894        -2.941033559905953        
0.09956960138151771       -6809.188944250647        -250.0467852190148        -143.971597969447         0.3209340538418459        -7.06229987408783         -3.059789508433518        
0.1030418236041442        -6332.190693488688        -2314.879173145929        -1036.499733300545        2.827793644281758         -6.573201383788383        -2.834029942609392        
0.1065140458267706        -5145.48559694798         -4120.476083488975        -1812.621355820264        5.006495566633939         -5.352203244002941        -2.291894301714086        
0.109986268049397         -3385.888112288359        -5467.771790181643        -2386.562531739228        6.611858496681057         -3.549081175011001        -1.499951697579362        
0.1134584902720235        -1252.89778900649         -6213.0047568678          -2696.979705510864        7.475074590278203         -1.377845549811446        -0.552337758381303        
0.1169307124946499        1016.942347608601         -6282.333462067119        -2713.182543810062        7.519282632692031         0.9148276502667592        0.4431133777270128        
0.1204029347172764        3178.077859639124         -5676.843047296484        -2437.148811513298        6.760319523552276         3.081015164615609         1.378586743713394         
0.1238751569399028        5002.411613694694         -4468.815481570458        -1901.735494425484        5.296325041945109         4.897788182824545         2.157676592826638         
0.1273473791625293        6301.58207336955          -2791.187108748442        -1165.942564209579        3.290963665125263         6.18629184386337          2.703607742550585         
0.1308196013815177        6943.753094449407         -822.3282007812352        -308.1702569110784        0.9541178770647826        6.824042580017824         2.964476983598316         
0.1342918236041442        6864.522530051821         1232.021628341695         581.7261455615249         -1.477791623370822        6.751842634717012         2.916139396198931         
0.1377640458267706        6071.973931787821         3158.256211608842         1410.969681337511         -3.761137968746661        5.976632627050048         2.563321481695807         
0.141236268049397         4645.9758814852           4754.753128407723         2092.507116053551         -5.664155494156821        4.571020393699916         1.939282773881979         
